taxonomy,id,link,text
General Humanities Resources///Humanities Metapages & Portals,info17556,http://www.britac.ac.uk/portal/,British Academy PORTAL (the British Academy's directory of online resources in the humanities and social sciences; designed as an entry point to available resources for those working in higher education and research)
General Humanities Resources///Humanities Metapages & Portals,info17635,http://www.virtualref.com/,"Virtual Reference Desk (Christopher C. Brown, U. Denver)"
General Humanities Resources///Humanities Metapages & Portals,info16338,http://www.my-edu2.com/,ABCentral (extensive educational resource links) (E. J. Inglis-Arkell)
General Humanities Resources///Humanities Metapages & Portals,info8689,http://authors.About.com/,"About.com: Authors (extensive links to contemporary literature, arts, etc.) (About, Inc.)"
General Humanities Resources///Humanities Metapages & Portals,info8895,http://www.britannica.com/,Britannica.com (Encyclopedia Britannica online)
General Humanities Resources///Humanities Metapages & Portals,info8922,http://bubl.ac.uk/,"BUBL Information Service (a national information service for the higher education community, funded by JISC, the Joint Information Systems Committee of the Higher Education Funding Councils of England, Scotland and Wales and the Department of Education for Northern Ireland) (Centre for Digital Library Research, Strathclyde University, Glasgow)"
General Humanities Resources///Humanities Metapages & Portals,info16499,http://www.storia.cc,"Central Conference for History and the Humanities Online (Conferenza Centrale) (""permanent telematic forum dealing with the humanities. It is also a consultation centre for the development of any electronic initiative within broad subject areas including history, philosophy, literature, languages and the humanities"") (Medioevo Italiano Project)"
General Humanities Resources///Humanities Metapages & Portals,info8857,http://www.culturekiosque.com/,"CultureKiosque (""Europe's cultural news site"" offers ""news, features, criticism and interviews about art exhibitions, concerts, opera stars, jazz, dance, CDs & CD-Roms, international cuisine and technology in English, French and/or German""; editorial staff consists of ""international journalists and critics from major dailies and specialist publications in Europe and the U.S."")"
General Humanities Resources///Humanities Metapages & Portals,info8827,http://edsitement.neh.gov/,"EDSITEment (links to 20 ""best"" humanities sites selected by a NEH merit review process; site also includes ""learning guides"" and an excellent search engine) (National Endowment for the Humanities / Council of the Great City Schools / MCI Co"
General Humanities Resources///Humanities Metapages & Portals,info8825,http://www.eduref.org/,Educator's Reference Desk (formerly AskERIC Service for Educators) (Information Institute of Syracuse)
General Humanities Resources///Humanities Metapages & Portals,info8796,http://etext.lib.virginia.edu/ETD/,"Electronic Theses and Dissertations in the Humanities: A Directory of Online References and Resources (Matthew G. Kirschenbaum, U. Maryland, College Park)"
General Humanities Resources///Humanities Metapages & Portals,info8873,http://www.funkandwagnalls.com/,"Funk & Wagnalls Knowledge Center (complete text and some photos from the Funk & Wagnalls Multimedia Encyclopedia, plus other resources, including Reuters News and Music Center; requires free registration) (the"
General Humanities Resources///Humanities Metapages & Portals,info8960,http://andromeda.rutgers.edu/~jlynch/Lit/misc.html#misc,"General Resources Jack Lynch,Rutgers U."
General Humanities Resources///Humanities Metapages & Portals,info8940,http://www.nhumanities.org/hum.htm,Humanitas (National Humanities Institute)
General Humanities Resources///Humanities Metapages & Portals,info8751,http://www.hallcenter.ku.edu/cgi-bin/cgiwrap/hallcntr/outreach/lectures/index.php,Humanities Lecture Series at U. Kansas (U. Kansas Hall Center for the Humanities)
General Humanities Resources///Humanities Metapages & Portals,info8896,http://www.sal.tohoku.ac.jp/~gothit/zinbun-en.html,"Humanities Web Sites in Japan (GOTOO Hitosi, Tohoku U.)"
General Humanities Resources///Humanities Metapages & Portals,info8941,http://www.wtamu.edu/library/indexes/,"Humanities & Social Sciences Services, Texas A&M U. Libraries (links to databases, e-journals, Internet resources, government documents, CDROMs, etc.)"
General Humanities Resources///Humanities Metapages & Portals,info8961,http://www.cni.org/docs/humartiway/,Humanities and Arts on the Information Highways (Getty AHIP/ACLS/Coalition of Networked Info)
General Humanities Resources///Humanities Metapages & Portals,info8897,http://lib-www.ucr.edu/,"Infomine: Scholarly Internet Resource Collections (U. California, Riverside)"
General Humanities Resources///Humanities Metapages & Portals,info8924,http://www.ipl.org/,Internet Public Library (metapage organized according to a library metaphor) (U. Michigan)
General Humanities Resources///Humanities Metapages & Portals,info8579,http://www.intute.ac.uk/humanities/,"INTUTE:  Humanities (descended from the HUMBUL gateway, this is a collection of annotated humanities resources kept by a consortium of educators in the United Kingdom)"
General Humanities Resources///Humanities Metapages & Portals,info8836,http://lcweb.loc.gov/homepage/lchp.html,Library of Congress
General Humanities Resources///Humanities Metapages & Portals,info8662,http://www.lib.lsu.edu/hum/lit/lit.html,Literature Webliography (LSU)
General Humanities Resources///Humanities Metapages & Portals,info8753,http://www2.latech.edu/~bmagee/201/great_books_etexts.html,"The Master Works of Western Civilization (""hypertext-annotated compilation of lists of major works recommended by Drs. Adler and Eliot, Charles Van Doren, Anthony Burgess, Clifton Fadiman, the Easton Press, and many others""; links to online texts) (Mason West)"
General Humanities Resources///Humanities Metapages & Portals,info8962,http://www.cc.gatech.edu/~asb/mediamoo/,"MediaMOO (telnet site created as a ""professional online community for media researchers"") (Amy Bruckman, Georgia Tech)"
General Humanities Resources///Humanities Metapages & Portals,info8861,http://www.lib.msu.edu/vincent/,"Michigan State U. Vincent Voice Library__ (""largest academic voice library in the nation [with] taped utterances (speeches, performances, lectures, interviews, broadcasts, etc.) by over 50,000 persons from all walks of life recorded over 100 years""; this page contains sample sound"
General Humanities Resources///Humanities Metapages & Portals,info8963,http://www.MunichFound.de/,"Munich Found Online (""Bavaria's leading english-language, monthly Magazine dedicated to providing its international audience with a discerning mix of culture, history, commentary, art, and politics"")"
General Humanities Resources///Humanities Metapages & Portals,info8829,http://www.nytimes.com/books/,New York Times Sunday Book Review Section (current and past reviews; free registration required)
General Humanities Resources///Humanities Metapages & Portals,info8875,http://www.openhere.com/arts/literature/,OpenHere! Literature (OpenHere.com)
General Humanities Resources///Humanities Metapages & Portals,info8925,http://www.lib.uwaterloo.ca/society/general_soc.html,Resources of Scholarly Societies - General & Interdisciplinary (U. Waterloo)
General Humanities Resources///Humanities Metapages & Portals,info8865,http://www.ucpress.edu/scan/,"SCAN: Scholarship from California on the Net (pilot project designed to facilitate broad scholarly access to humanities journals, books, and related materials through publication on the Internet) (U. California Press)"
General Humanities Resources///Humanities Metapages & Portals,info8800,http://www.wam.umd.edu/~mlhall/scholarly.html,Scholarly Sites (Michael L. Hall)
General Humanities Resources///Humanities Metapages & Portals,info8831,http://www.lib.uwaterloo.ca/society/overview.html,Scholarly Societies Project (U of Waterloo)
General Humanities Resources///Humanities Metapages & Portals,info16353,http://www.sendecki.com/links,"Daniel Sendecki, Sendecki.com: Arts & Literature Directory (directory of literary web sites composed of links from writers and artists from around the world; poetry, drama, fiction, non-fiction, mixed genres, etc.)"
General Humanities Resources///Humanities Metapages & Portals,info8965,http://www.sil.org/sgml/acadapps.html,SGML: Academic Projects (links to projects and info at major centers of academic SGML development; describes each center) (Robin Cover)
